Positive Emotions,Negative Emotions,Calm and Peaceful,Excitement and Energy,Humor and Playfulness
fun,aggressive,soft,energetic,wry
uplifting,angry,calm,driving,quirky
carefree,bitter,gentle,intense,whimsical
freewheeling,hostile,peaceful,cathartic,humorous
summery,cynical,soothing,thrilling,silly
bright,desperate,serene,exuberant,comic
sparkling,bleak,tranquil,lively,witty
relaxed,scary,relaxing,passionate,ironic
joyful,ominous,quiet,fiery,sardonic
happy,threatening,introspective,raucous,sarcastic
cheerful,anxious,meditative,volatile,snide
gleeful,nervous,reflective,manic,satirical
playful,melancholy,dreamy,hyper,None
positive,sad,None,None,None 
nostalgic,distraught,None,None,None 
sentimental,regretful,None,None,None 
sweet,weary,None,None,None 
precious,somber,None,None,None 
jovial,brooding,None,None,None 
joyous,menacing,None,None,None 
exuberant,unsettling,None,None,None 
ebullient,nihilistic,None,None,None 
euphoric,tragic,None,None,None 
None,None,grim,None,None 
None,None,mournful,None,None
